id,host_since,neighbourhood,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
9482235,2015-11-09,Ward 64,Cape Town,7974,-34.14331,18.42677,Villa,Entire home/apt,6,2.5,3.0,3.0,Real Bed,3053,,10,1125,1,80.0
9482497,2015-11-16,Ward 115,Cape Town,8051,-33.91208,18.4101,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1145,200.0,5,1125,0,94.57809342683942
9483255,2015-11-16,Ward 58,Cape Town,7700,-33.97584,18.4835,House,Private room,4,2.0,1.0,3.0,Real Bed,2995,,1,1125,0,94.57809342683942
9483479,2015-11-16,Ward 84,Cape Town,7130,-34.09156,18.86457,Villa,Entire home/apt,5,2.5,3.0,3.0,Real Bed,993,500.0,14,50,3,100.0
9483647,2013-05-29,Ward 74,Cape Town,,-34.01473,18.36199,House,Entire home/apt,6,3.0,3.0,4.0,Real Bed,2608,400.0,7,30,0,94.57809342683942
9483988,2015-04-17,Ward 77,Cape Town,8001,-33.92817,18.40114,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2024,478.0,4,1124,150,98.0
9484332,2010-08-07,Ward 115,Cape Town,8000,-33.92273,18.42057,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1198,0.0,2,300,1,100.0
9484703,2015-10-26,Ward 54,Cape Town,8060,-33.91316,18.39384,House,Entire home/apt,4,2.5,2.0,2.0,Real Bed,1999,600.0,4,120,50,96.0
9485211,2015-11-16,Ward 115,Cape Town,8005,-33.89946,18.40709,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,793,,6,1125,2,100.0
9485233,2015-08-18,Ward 74,Cape Town,7806,-34.04337,18.36126,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,8497,,12,1125,1,94.57809342683942
9485371,2015-05-17,Ward 115,Cape Town,8051,-33.90949,18.40394,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,3298,,7,21,7,100.0
9488826,2013-05-20,Ward 115,Cape Town,8000,-33.92129,18.42375,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2007,500.0,1,180,68,95.0
9488924,2014-07-17,Ward 77,Cape Town,8001,-33.94212,18.42478,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1198,200.0,5,1125,4,95.0
9489919,2015-11-16,Ward 64,Cape Town,7946,-34.1201,18.4555,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,1498,300.0,2,30,43,99.0
9491141,2015-11-16,Ward 112,Cape Town,7550,-33.83767,18.65458,Villa,Entire home/apt,5,2.5,3.0,4.0,Real Bed,2246,1711.0,4,30,10,80.0
9497003,2015-11-17,Ward 58,Cape Town,7700,-33.96889,18.48071,House,Entire home/apt,10,3.5,5.0,7.0,Real Bed,4493,,7,1125,2,100.0
9497077,2015-05-05,Ward 77,Cape Town,8001,-33.93789,18.40427,Villa,Entire home/apt,10,5.5,5.0,5.0,Real Bed,11498,1200.0,5,1125,4,100.0
9498521,2015-07-08,Ward 61,Cape Town,7975,-34.206,18.4568,House,Entire home/apt,5,2.0,3.0,4.0,Real Bed,1254,,2,30,42,97.0
9499284,2015-02-01,Ward 54,Cape Town,8060,-33.92017,18.39054,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,5198,,14,1125,0,94.57809342683942
9499461,2013-02-12,Ward 58,Cape Town,7708,-33.98093,18.477,House,Entire home/apt,6,3.0,2.0,2.0,Real Bed,2041,850.0,6,1125,2,70.0
9499546,2011-10-31,Ward 63,Cape Town,7780,-34.00676,18.51643,House,Private room,1,0.5,1.0,1.0,Real Bed,279,,10,1125,0,94.57809342683942
9500074,2015-08-18,Ward 74,Cape Town,7806,-34.03913,18.34671,House,Entire home/apt,5,2.0,3.0,4.0,Real Bed,3501,,8,1125,1,80.0
9500242,2011-10-31,Ward 63,Cape Town,7780,-34.00722,18.51679,House,Private room,1,1.0,1.0,0.0,Real Bed,254,,10,1125,1,100.0
9501648,2015-10-29,Ward 70,Cape Town,7530,-33.87084,18.61119,Guesthouse,Private room,2,1.0,1.0,2.0,Real Bed,1045,0.0,1,1125,1,60.0
9501774,2015-06-23,Ward 115,Cape Town,8001,-33.92772,18.4126,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1251,300.0,2,1125,19,98.0
9501999,2015-09-27,Ward 107,Cape Town,7441,-33.82207,18.47779,Loft,Entire home/apt,6,3.0,3.0,3.0,Real Bed,5461,0.0,2,1125,13,94.0
9502842,2015-08-28,Ward 77,Cape Town,8001,-33.94265,18.42707,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,617,150.0,3,200,37,96.0
9508750,2015-11-17,Ward 58,Cape Town,7700,-33.95761,18.48971,House,Private room,3,1.0,1.0,1.0,Pull-out Sofa,505,,1,1125,23,92.0
9508753,2015-11-17,Ward 70,Cape Town,7530,-33.85468,18.61131,House,Entire home/apt,4,2.0,3.0,4.0,Real Bed,2009,0.0,4,15,0,94.57809342683942
9509027,2015-11-17,Ward 59,Cape Town,7708,-33.98344,18.45527,House,Entire home/apt,7,3.0,4.0,4.0,Real Bed,3947,500.0,6,21,2,100.0
9509460,2015-11-17,Ward 74,Cape Town,7806,-34.03277,18.35024,Villa,Entire home/apt,6,2.0,3.0,3.0,Real Bed,2595,500.0,3,30,14,95.0
9515856,2015-11-18,Ward 77,Cape Town,8001,-33.93506,18.43162,House,Entire home/apt,4,2.5,2.0,2.0,Real Bed,5008,600.0,3,10,4,100.0
9517426,2015-11-18,Ward 107,Cape Town,7441,-33.81418,18.5043,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,505,,3,28,1,80.0
9517976,2014-09-20,Ward 54,Cape Town,8005,-33.92023,18.38776,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2007,,5,1125,3,93.0
9518154,2014-12-15,Ward 54,Cape Town,8005,-33.91893,18.38549,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,2009,250.0,7,1125,1,100.0
9518219,2015-11-18,Ward 77,Cape Town,8001,-33.94109,18.4036,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,907,,3,1125,43,99.0
9518277,2015-11-18,Ward 61,Cape Town,7975,-34.19507,18.44043,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,784,,2,1125,26,100.0
9518866,2012-10-16,Ward 115,Cape Town,8005,-33.89984,18.40674,Serviced apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,453,0.0,2,1125,17,80.0
9518962,2015-11-18,Ward 73,Cape Town,7945,-34.04474,18.45415,House,Entire home/apt,4,1.5,3.0,3.0,Real Bed,2502,,1,1125,0,94.57809342683942
9519430,2015-10-06,Ward 115,Cape Town,,-33.91875,18.42347,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,2009,,2,1125,0,94.57809342683942
9523618,2014-10-06,Ward 58,Cape Town,7708,-34.00137,18.47612,House,Entire home/apt,2,1.0,2.0,0.0,Real Bed,1204,600.0,1,1125,4,95.0
9524637,2015-11-09,Ward 59,Cape Town,7708,-33.98462,18.4591,House,Entire home/apt,6,4.0,3.0,6.0,Real Bed,4000,,5,1125,0,94.57809342683942
9526406,2015-10-25,Ward 77,Cape Town,8001,-33.9347,18.40274,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,1498,,1,1125,0,94.57809342683942
